Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,P-Levenschtein Distance,F-Levenschtein Distance,L-Levenschtein Distance,P-Jaccard,F-Jaccard,L-Jaccard,P-jaroWinkler,F-jaroWinkler,L-jaroWinkler,sum,Label
ebowman,eric,bowman,epugh,eric,pugh,0.142857143,1,0,0.083333333,0.5,0,0.5,1,0,3.226190476,F
ericgravel,eric,gravel,start,eric,liang,0.1,1,0.166666667,0.133333333,0.5,0.272727273,0.43,1,0.46,4.062727273,F
ericjain,eric,jain,ashishbea,ashish,jain,0.111111111,0.166666667,1,0.176470588,0.1,0.5,0.49,0.47,1,4.014248366,F
foreggerd,david,foregger,davidmiller,david,miller,0.090909091,1,0.25,0.15,0.5,0.142857143,0.42,1,0.36,3.913766234,F
franktemi,frank,temi,fzlists,frank,zammetti,0.222222222,1,0.25,0.1875,0.5,0.333333333,0.55,1,0,4.043055556,F
gimier,andrew,forkalsrud,andreweells,andrew,eells,0.090909091,1,0.2,0.117647059,0.5,0.133333333,0.34,1,0.53,3.911889483,F
hariav,hari,v,haridara,hari,dara,0.625,1,0,0.357142857,0.5,0,0.89,1,0,4.372142857,F
harlenequinn,tim,williams,tsawyer,tim,sawyer,0.083333333,1,0,0.157894737,0.5,0.214285714,0,1,0,2.955513784,F
jasonhane,jason,hane,jheiss,jason,heiss,0.111111111,1,0.2,0.266666667,0.5,0.222222222,0.1,1,0.67,4.07,F
jimmoore,jim,moore,jhg,jim,garrison,0.125,1,0.125,0.090909091,0.5,0.153846154,0.54,1,0.44,3.974755245,F
jking,jerry,king,eking,ed,king,0.8,0.2,1,0.4,0.142857143,0.5,0.87,0.57,1,5.482857143,F
jobson,chris,jobson,chrisd,chris,darroch,0,1,0.142857143,0.083333333,0.5,0.076923077,0.44,1,0.44,3.683113553,F
jorgefdt,jorge,teglia,cerebrotecnologico,jorge,medina,0.111111111,1,0.333333333,0.192307692,0.5,0.25,0,1,0.67,4.056752137,F
khaiduk,kevin,haiduk,ksteppe,kevin,kevin,0.142857143,1,0,0.071428571,0.5,0.181818182,0.49,1,0.46,3.846103896,F
logjuser,logj,user,logjuser,jay,andrews,1,0,0.142857143,0.5,0.142857143,0.272727273,1,0,0.43,3.488441558,F
logjuser,logjuser,logjuser,logjuser,maillist,logj,1,0,0.5,0.5,0.125,0.333333333,1,0.5,0.9,4.858333333,F
maillist,rick,reumann,learningstuff,rick,lin,0.230769231,1,0.142857143,0.238095238,0.5,0.1,0.6,1,0,3.811721612,F
mankuk,vinayak,k,devarajkavali,devaraj,k,0.153846154,0.285714286,1,0.105263158,0.214285714,0.5,0.5,0.62,1,4.379109312,F
mark,mark,duske,mark,mark,anderson,1,1,0.25,0.5,0.5,0.230769231,1,1,0,5.480769231,F
mark,mark,masse,markayad,mark,ayad,0.5,1,0.2,0.333333333,0.5,0.111111111,0.9,1,0.48,5.024444444,F
markjdesantis,desantis,is,raycardillo,cardillo,is,0.076923077,0,1,0.208333333,0.1875,0.5,0.48,0.47,1,3.92275641,F
merls,brian,murrell,cbivey,brian,ivey,0,1,0.142857143,0.090909091,0.5,0.090909091,0,1,0.46,3.284675325,F
mikeg,michael,gesundheit,michaelpitoniak,michael,pitoniak,0.2,1,0.1,0.2,0.5,0.166666667,0.68,1,0.48,4.326666667,F
mikezirkle,mike,zirkle,michaelhurd,mike,hurd,0.181818182,1,0.166666667,0.238095238,0.5,0.1,0.67,1,0.47,4.326580087,F
mrk,michael,krysiak,michaelwechner,michael,wechner,0.071428571,1,0,0.117647059,0.5,0.071428571,0.52,1,0,3.280504202,F
msolojira,mike,solomon,mikemiller,mike,miller,0.1,1,0.142857143,0.210526316,0.5,0.153846154,0.58,1,0,3.687229612,F
mwew,matt,egyhazy,johnsonm,matt,johnson,0,1,0,0.083333333,0.5,0.071428571,0,1,0.43,3.084761905,F
olegtim,oleg,oleg,oleglebedev,oleg,lebedev,0.363636364,1,0.142857143,0.222222222,0.5,0.181818182,0.79,1,0.6,4.800533911,F
rakeshmailgroups,rakesh,patel,hiteshp,hitesh,patel,0.25,0.5,1,0.217391304,0.25,0.5,0.54,0.67,1,4.927391304,F
rbergstrom,robert,bergstrom,rkanter,robert,kanter,0.2,1,0.111111111,0.235294118,0.5,0.2,0.62,1,0.5,4.366405229,F
rdermer,richard,dermer,rdunn,richard,dunn,0.285714286,1,0.166666667,0.166666667,0.5,0.1,0.65,1,0.52,4.389047619,F
rolandberger,roland,berger,roland,roland,roland,0.5,1,0,0.333333333,0.5,0.083333333,0.9,1,0.44,4.756666667,F
sdixit,sandeep,dixit,sandeepmurthyaltrantec,sandeep,altrantec,0.136363636,1,0.111111111,0.107142857,0.5,0.071428571,0.53,1,0.44,3.896046176,F
